num_contrato,Status,Prazo,DataInicio,Tipo,Valor,id_cliente,id_colaborador
E72726620,1,36,2021-11-06,Consignado,1088.87,C00001,F0040
E18930151,1,18,2023-05-12,Refinanciamento,2237.83,C00001,F0055
E59445555,1,18,2022-03-08,Automático,558.51,C00002,F0033
E67514866,1,12,2023-05-21,Automático,891.75,C00002,F0080
E63699350,1,24,2022-07-01,Refinanciamento,1064.04,C00002,F0006
E83940880,1,36,2022-04-14,Consignado,13404.86,C00005,F0014
E57648436,1,12,2021-06-01,Refinanciamento,27870.01,C00005,F0092
E95461689,1,18,2021-11-26,Pessoal,20766.85,C00005,F0100
E55597252,1,24,2022-09-04,Consignado,31078.92,C00006,F0044
E31588749,1,36,2022-03-13,Refinanciamento,2699.59,C00009,F0030
E89726011,1,18,2023-02-15,Automático,4133.76,C00009,F0080
E91451892,1,6,2022-10-05,Pessoal,436.4,C00012,F0022
E79393500,1,6,2023-10-04,Consignado,921.53,C00012,F0019
E57929023,1,6,2023-08-03,Refinanciamento,13668.35,C00014,F0056
E47977320,1,12,2022-06-02,Consignado,814.92,C00015,F0065
E75523903,1,6,2022-03-17,Refinanciamento,683.01,C00015,F0073
E37652655,1,12,2023-06-22,Refinanciamento,998.08,C00017,F0078
E13983698,1,18,2023-03-18,Pessoal,2617.18,C00019,F0053
E73272554,1,36,2022-11-20,Consignado,1584.56,C00020,F0064
E35920882,1,18,2023-08-26,Consignado,5079.04,C00020,F0045
E76988835,1,24,2023-04-20,Refinanciamento,11379.9,C00021,F0070
E83248006,1,36,2022-09-25,Consignado,9751.16,C00022,F0021
E59578914,1,24,2022-04-04,Refinanciamento,1780.47,C00023,F0069
E24439833,1,18,2022-07-11,Pessoal,1796.44,C00023,F0068
E95809924,1,6,2023-06-24,Automático,1465.33,C00026,F0027
E56937846,1,6,2022-07-12,Automático,29269.65,C00027,F0087
E53193443,1,6,2022-10-23,Refinanciamento,2942.83,C00030,F0066
E96314342,1,18,2023-07-26,Pessoal,6309.32,C00031,F0076
E51152946,1,18,2023-11-02,Pessoal,2087.49,C00032,F0021
E24303253,0,36,2023-02-16,Refinanciamento,1090.49,C00034,F0075
E92075475,1,6,2022-09-16,Refinanciamento,2223.07,C00035,F0010
E58585821,1,12,2022-01-25,Consignado,1204.64,C00035,F0063
E97559325,1,24,2023-08-01,Automático,12928.8,C00037,F0018
E45216390,1,18,2023-05-11,Pessoal,6034.91,C00039,F0020
E37601424,1,6,2023-09-16,Refinanciamento,4230.13,C00040,F0045
E23166584,1,12,2021-01-28,Automático,5473.88,C00040,F0091
E79010520,1,36,2022-01-24,Pessoal,4135.49,C00040,F0013
E55838885,1,12,2023-10-20,Consignado,5476.27,C00041,F0032
E87254235,1,18,2023-08-08,Automático,5445.48,C00043,F0082
E12872833,1,18,2022-05-02,Pessoal,2503.26,C00043,F0052
E91094799,0,18,2023-10-05,Automático,2238.21,C00043,F0043
E75451988,1,18,2023-03-09,Automático,892.24,C00046,F0086
E74999428,1,18,2021-06-03,Consignado,809.89,C00046,F0022
E60290865,0,6,2023-08-23,Pessoal,1101.73,C00047,F0037
E58240973,1,6,2021-06-09,Consignado,4081.42,C00050,F0074
E17821145,1,6,2021-03-25,Refinanciamento,217.15,C00051,F0010
E60889265,1,6,2023-08-09,Pessoal,849.18,C00051,F0094
E35148921,1,24,2023-09-09,Automático,1416.37,C00051,F0029
E19639095,1,18,2022-08-26,Consignado,11627.71,C00053,F0024
E12309460,1,6,2022-03-17,Pessoal,5955.31,C00053,F0072
E23519326,1,24,2023-02-08,Refinanciamento,3497.14,C00054,F0080
E68472599,1,24,2023-07-02,Automático,11414.86,C00055,F0065
E58460466,1,12,2023-08-16,Consignado,694.92,C00056,F0035
E87049793,1,36,2022-06-01,Refinanciamento,11665.79,C00057,F0071
E75739614,1,24,2021-04-26,Pessoal,12794.54,C00057,F0018
E34449521,1,24,2023-08-07,Consignado,11803.69,C00058,F0018
E18312785,1,24,2021-07-10,Refinanciamento,4210.23,C00059,F0060
E73536175,1,6,2023-09-22,Automático,2532.24,C00059,F0092
E29621765,1,18,2022-12-21,Automático,7896.45,C00059,F0097
E15693580,0,24,2022-04-17,Refinanciamento,714.31,C00060,F0031
E82716748,1,18,2022-03-28,Refinanciamento,443.55,C00060,F0003
E61347563,1,24,2022-12-14,Pessoal,1446.86,C00061,F0040
E34794065,1,12,2021-04-10,Consignado,7215.49,C00062,F0078
E62556274,1,36,2023-11-15,Automático,5325.56,C00062,F0041
E77342446,0,36,2023-05-16,Refinanciamento,3611.48,C00062,F0028
E11940400,1,12,2022-02-26,Automático,4331.38,C00063,F0052
E98164090,1,6,2023-08-04,Automático,22905.78,C00065,F0010
E77519064,1,12,2022-04-03,Automático,5806.6,C00067,F0048
E12711031,1,24,2022-11-06,Refinanciamento,7197.84,C00067,F0030
